SerialNo,Title,Ministry,Introduced,Passed_LS,Passed_RS
1,"The Indian Ports Bill, 2025","PORTS, SHIPPING & WATERWAYS",28/03/2025,,
2,"The Appropriation (No.3) Bill, 2025",FINANCE,21/03/2025,21/03/2025,27/03/2025
3,"The Immigration and Foreigners Bill, 2025",HOME AFFAIRS,11/03/2025,27/03/2025,02/04/2025
4,"The Appropriation Bill (No.2), 2025",FINANCE,11/03/2025,11/03/2025,18/03/2025
5,"The Appropriation Bill, 2025",FINANCE,11/03/2025,11/03/2025,18/03/2025
6,"Manipur Appropriation (Vote on Account) Bill, 2025",FINANCE,11/03/2025,11/03/2025,18/03/2025
7,"Manipur Appropriation Bill, 2025",FINANCE,11/03/2025,11/03/2025,18/03/2025
8,"The Income-Tax Bill, 2025",FINANCE,13/02/2025,,
9,"The Protection of Interests in Aircraft Objects Bill, 2025",CIVIL AVIATION,10/02/2025,03/04/2025,01/04/2025
10,"The Tribhuvan Sahkari University Bill,2025",COOPERATION,03/02/2025,26/03/2025,01/04/2025
11,"The Finance Bill, 2025",FINANCE,01/02/2025,25/03/2025,27/03/2025
12,"The Finance Bill, 2025",FINANCE,01/02/2025,25/03/2025,27/03/2025
13,"The Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024",LAW  AND JUSTICE,17/12/2024,,
14,"The Union Territories Laws (Amendment) Bill, 2024",LAW  AND JUSTICE,17/12/2024,,
15,"The Appropriation (No.3) Bill, 2024",FINANCE,17/12/2024,17/12/2024,
16,"The Merchant Shipping Bill, 2024","PORTS, SHIPPING & WATERWAYS",10/12/2024,,
17,"The Coastal Shipping Bill, 2024","PORTS, SHIPPING & WATERWAYS",02/12/2024,03/04/2025,
18,"The Banking Laws (Amendment) Bill, 2024",FINANCE,09/08/2024,03/12/2024,26/03/2025
19,"The Railways (Amendment) Bill, 2024.",RAILWAYS,09/08/2024,11/12/2024,10/03/2025
20,"The Carriage of Goods by Sea Bill, 2024.","PORTS, SHIPPING & WATERWAYS",09/08/2024,28/03/2025,
21,"The Bills of Lading Bill, 2024","PORTS, SHIPPING & WATERWAYS",09/08/2024,10/03/2025,
22,"The Boilers Bill, 2024",COMMERCE AND INDUSTRY,08/08/2024,25/03/2025,04/12/2024
23,"The Waqf (Amendment) Bill, 2025",MINORITY AFFAIRS,08/08/2024,02/04/2025,03/04/2025
24,"The Mussalman Wakf (Repeal) Bill, 2025",MINORITY AFFAIRS,08/08/2024,02/04/2025,03/04/2025
25,"The Readjustment of Representation of Scheduled Tribes in Assembly Constituencies of the State of Goa Bill, 2024",LAW  AND JUSTICE,05/08/2024,,
26,"The Oilfields (Regulation and Development) Amendment Bill,2024",PETROLEUM AND NATURAL GAS,05/08/2024,12/03/2025,03/12/2024
27,"The Appropriation (No.2) Bill, 2024",FINANCE,05/08/2024,05/08/2024,08/08/2024
28,"The Disaster Management (Amendment) Bill, 2024",HOME AFFAIRS,01/08/2024,12/12/2024,25/03/2025
29,"The Bharatiya Vayuyan Vidheyak, 2024",CIVIL AVIATION,31/07/2024,09/08/2024,05/12/2024
30,"The Jammu and Kashmir Appropriation (No.3) Bill, 2024",FINANCE,30/07/2024,30/07/2024,08/08/2024
31,"The Finance (No.2) Bill, 2024",FINANCE,23/07/2024,07/08/2024,08/08/2024
32,"The Appropriation (Vote on Account) Bill, 2024",FINANCE,07/02/2024,07/02/2024,08/02/2024
33,"The Appropriation Bill, 2024",FINANCE,07/02/2024,07/02/2024,08/02/2024
34,"The Jammu and Kashmir Appropriation (No.2) Bill, 2024",FINANCE,07/02/2024,07/02/2024,08/02/2024
35,"The Jammu and Kashmir Appropriation Bill, 2024.",FINANCE,07/02/2024,07/02/2024,08/02/2024
36,"The Jammu and Kashmir Local Bodies Laws (Amendment) Bill, 2024",HOME AFFAIRS,05/02/2024,06/02/2024,09/02/2024
37,"The Public Examinations (Prevention of Unfair Means) Bill, 2024.","PERSONNEL,PUBLIC GRIEVANCES AND PENSIONS",05/02/2024,06/02/2024,09/02/2024
38,"The Water (Prevention and Control of Pollution) Amendment Bill, 2024","ENVIRONMENT, FORESTS & CLIMATE CHANGE",05/02/2024,08/02/2024,06/02/2024
39,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2024",TRIBAL AFFAIRS,05/02/2024,08/02/2024,06/02/2024
40,"The Constitution (Scheduled Castes and Scheduled Tribes) Orders (Amendment) Bill, 2024",TRIBAL AFFAIRS,05/02/2024,08/02/2024,06/02/2024
41,"The Finance Bill, 2024",FINANCE,01/02/2024,07/02/2024,08/02/2024
42,"The Telecommunications Bill, 2023",COMMUNICATIONS & INFORMATION TECHNOLOGY,18/12/2023,20/12/2023,21/12/2023
43,"The Central Goods and Services Tax (Second Amendment) Bill, 2023",FINANCE,13/12/2023,19/12/2023,20/12/2023
44,"The Provisional Collection of Taxes Bill, 2023",FINANCE,13/12/2023,19/12/2023,20/12/2023
45,"National Capital Territory of Delhi Laws (Special Provisions) Second (Amendment) Bill, 2023",HOUSING AND URBAN AFFAIRS,13/12/2023,19/12/2023,19/12/2023
46,"The Bharatiya Nyaya (Second) Sanhita, 2023",HOME AFFAIRS,12/12/2023,20/12/2023,21/12/2023
47,"The Bharatiya Nagarik Suraksha (Second) Sanhita, 2023",HOME AFFAIRS,12/12/2023,20/12/2023,21/12/2023
48,"The Jammu and Kashmir Reorganisation (Second Amendment) Bill, 2023",HOME AFFAIRS,12/12/2023,12/12/2023,18/12/2023
49,"The Government of Union Territories (Amendment) Bill, 2023",HOME AFFAIRS,12/12/2023,12/12/2023,18/12/2023
50,"The Appropriation (No. 3) Bill, 2023",FINANCE,12/12/2023,12/12/2023,19/12/2023
51,"The Appropriation (No. 4) Bill, 2023",FINANCE,12/12/2023,12/12/2023,19/12/2023
52,"The Bharatiya Sakshya (Second) Bill, 2023",HOME AFFAIRS,12/12/2023,20/12/2023,21/12/2023
53,"The Central Universities (Amendment) Bill, 2023",EDUCATION,04/12/2023,07/12/2023,13/12/2023
54,"The Constitution (One Hundred and Twenty-Eighth Amendment)  Bill, 2023",LAW  AND JUSTICE,19/09/2023,20/09/2023,21/09/2023
55,"The Chief Election Commissioner and other Election Commissioners (Appointment Conditions of Service and Term of Office) Bill, 2023",LAW  AND JUSTICE,10/08/2023,21/12/2023,12/12/2023
56,"The Post Office Bill, 2023",COMMUNICATION,10/08/2023,18/12/2023,04/12/2023
57,"The Anusandhan National Research Foundation Bill, 2023.",SCIENCE AND TECHNOLOGY,04/08/2023,07/08/2023,09/08/2023
58,"The Pharmacy (Amendment) Bill, 2023",HEALTH AND FAMILY WELFARE,03/08/2023,07/08/2023,10/08/2023
59,"The Digital Personal Data Protection Bill, 2023",ELECTRONICS & INFORMATION TECHNOLOGY,03/08/2023,07/08/2023,09/08/2023
60,"The Government of National Capital Territory of Delhi (Amendment) Bill, 2023",HOME AFFAIRS,01/08/2023,03/08/2023,07/08/2023
61,"The Advocates (Amendment) Bill, 2023",LAW  AND JUSTICE,01/08/2023,04/12/2023,03/08/2023
62,"The Press and Registration of Periodicals Bill, 2023",INFORMATION AND BROADCASTING,01/08/2023,21/12/2023,03/08/2023
63,"The Indian Institutes of Management (Amendment) Bill, 2023",EDUCATION,28/07/2023,04/08/2023,08/08/2023
64,"The Offshore Areas Mineral (Development and Regulation) Amendment Bill, 2023",MINES,27/07/2023,01/08/2023,03/08/2023
65,"The Registration of Births and Deaths (Amendment) Bill, 2023.",HOME AFFAIRS,26/07/2023,01/08/2023,07/08/2023
66,"The Jammu and Kashmir Reservation (Amendment) Bill, 2023.",HOME AFFAIRS,26/07/2023,06/12/2023,11/12/2023
67,"The Jammu and Kashmir Reorganisation (Amendment) Bill, 2023",HOME AFFAIRS,26/07/2023,06/12/2023,11/12/2023
68,"The Constitution (Jammu and Kashmir) Scheduled Castes Order (Amendment) Bill, 2023",SOCIAL JUSTICE AND EMPOWERMENT,26/07/2023,06/02/2024,09/02/2024
69,"The Constitution (Jammu and Kashmir) Scheduled Tribes Order (Amendment) Bill, 2023",TRIBAL AFFAIRS,26/07/2023,06/02/2024,09/02/2024
70,"The Mines and Minerals (Development and Regulation) Amendment Bill, 2023",MINES,26/07/2023,28/07/2023,02/08/2023
